"","x"
"beta",1.1414650167055
"gamma",0.698059017190005
"rho",0.833661917027924
"psi",0.648705696671843
"p",0.155054942454995
"q",2.40423505038384
"pop",10600
"S_0",0.999056603773585
"E_0",0.000754716981132075
"I_0",0.000188679245283019
"R_0",0
"sigma",0.059
"intervention",61
"spring0",26
"spring1",34
"summer0",100
