"","x"
"beta",1.38640049216689
"gamma",0.745065263447482
"rho",0.827947722076807
"psi",0.714101920776382
"p",0.200614857606729
"q",3.47178973221803
"pop",10600
"S_0",0.999056603773585
"E_0",0.000754716981132075
"I_0",0.000188679245283019
"R_0",0
"sigma",0.059
"intervention",61
"spring0",26
"spring1",34
"summer0",100
