"beta","rho","psi","w","pop","S_0","E_0","I_0","R_0","sigma","gamma","intervention","loglik","loglik.se"
8.26935108539209,0.0290975122563761,0.384211135209694,0.162622889350772,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-132.438269935508,0.0165470910109743
8.4160156453885,0.0307437912329745,0.371561952142308,0.152948271263503,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-132.439730298672,0.0227810163241208
8.42706306704811,0.0305897006398147,0.365270997856091,0.153932659306547,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-132.442021916158,0.0230494689770698
8.45295809312901,0.0295387004871455,0.379804129418784,0.158399587181488,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-132.443768376502,0.0132708389690237
8.38728379221421,0.0300207569537121,0.375975717251461,0.157264233849216,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-132.444595669876,0.011999712890937
8.47661952369365,0.0302680440132226,0.375531823759659,0.154461557029949,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-132.448825650133,0.0119418761507683
8.36525328488797,0.0306686783385636,0.384930846344758,0.154355762647292,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-132.454412510971,0.0197385465571774
8.46217476675659,0.0289211408257186,0.378173214693576,0.160313092196362,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-132.454924102682,0.0162879519542556
8.36376663966579,0.0309045568989773,0.372935392290739,0.154041409799714,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-132.45647079933,0.0154360337510563
8.3297186635395,0.0313340070025049,0.370253511193979,0.153660546105877,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-132.457504618171,0.0177745581705066
8.32413331909928,0.0289905078950412,0.376797650860843,0.163385463281841,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-132.457810551185,0.0140651098777365
8.39512497871581,0.029825371815513,0.374218925827078,0.159490166007384,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-132.461529460365,0.0280395183490304
8.41870296874485,0.0294722041519152,0.381175315788626,0.158014131830156,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-132.462346324132,0.00992503355205962
8.37823729452157,0.029796933972222,0.376858238997732,0.159403271997674,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-132.469089009665,0.0157651312413444
8.38719929094088,0.0282103904509135,0.385783566583228,0.166300273698753,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-132.469437219162,0.0228329158571997
8.44287332407517,0.0291478965886906,0.376532505033779,0.161184301344509,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-132.474742640511,0.0214584088499066
