"","x"
"beta",6.03454959816338
"rho",0.102532872182281
"psi",0.502548064700712
"w",0.134187460731611
"pop",31800
"S_0",0.999622641509434
"E_0",0.000345911949685535
"I_0",3.14465408805031e-05
"R_0",0
"sigma",0.41
"gamma",1.4
"intervention",12
