"beta","rho","psi","w","pop","S_0","E_0","I_0","R_0","sigma","gamma","intervention","loglik","loglik.se"
6.03454959816338,0.102532872182281,0.502548064700712,0.134187460731611,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-136.239184726406,0.221956177475458
4.98668374517018,0.221307633311497,1.09939010797367,0.15589970102501,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-144.013582126344,0.121221154982951
4.12506587833131,0.279096851291709,0.533217680620472,0.191280304077977,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-144.755581791575,0.733833571145853
4.28478679575307,0.451516121955595,0.980351681642397,0.197094335403618,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-145.977416329569,0.0487535403890961
4.13146011877541,0.283144865850337,1.40891242569453,0.188415702598736,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-147.531648379756,0.146265775883193
6.40926852910445,0.274756814362641,0.813900764548041,0.0737581942530515,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-149.815024032704,0.577863254360268
3.91688590208808,0.206438082006404,2.11986622642875,0.208449231261373,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-150.706137425497,0.197206818896573
2.88524538019604,0.560205050180162,1.46629524805126,0.315278101839851,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-152.020052658895,0.278941150535289
3.27236639248074,0.38437032540805,0.410901490404947,0.27651923991263,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-154.721064773949,10.0270316134642
2.77890711850151,0.267139596298914,2.12279880533457,0.327706199685929,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-155.239051698149,0.929653921766786
2.52887849135097,0.499786771614928,0.822770306279593,0.444230762508821,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-157.19834608836,1.21519100162077
3.15493107639257,0.319886587836862,1.27677531561098,0.371653076287056,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-157.564832002062,0.289769435635787
2.67068967615915,0.351680815189752,2.0763920629724,0.452733711967133,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-159.778160984016,0.264245705066096
2.08801665246212,0.577056563109313,1.04581078615399,0.442451536518932,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-162.025264559847,3.93956263449238
1.96335435685088,0.314763423460107,2.66437372434641,0.42888490108981,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-166.564891653253,0.702133280160733
1.80305154952331,0.26953525623198,2.62364549900892,0.574682791224909,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-167.246391924144,2.53260700132967
2.06745591368915,0.43465149960534,1.72990311160599,0.67252903189742,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-169.216131508227,0.355272015694254
3.26342956766658,0.110570857204334,1.13120092566104,0.353989726644076,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-176.387256982888,0.70720861626103
1.97559922273646,0.445829923853006,0.877774184922688,0.663493872507867,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-182.969743393618,3.31952744097993
1.78119992891877,0.217290299234855,1.89325489423064,0.591066007005675,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-186.156806167582,12.0178619320236
2.46806689437171,0.251968679879573,0.871301463470981,0.381816292656402,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-192.880619447377,7.62477761939956
8.36824450780105,0.0213372221820437,0.548235578106581,0.731245932089765,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-195.407874594486,9.09964043552792
2.00930724116966,0.227223185005034,1.21425724723876,0.649511528359431,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-201.576683727265,7.24695807139947
4.18379234469611,0.103603241378985,0.964293979160075,0.620747752520926,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-206.67318037714,0.15191722520749
5.15842596122346,0.202844835598781,1.09177537673,0.975929134823537,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-207.606864056995,0.293209320877869
2.83211862429295,0.155676670028136,1.39444254716872,0.73614385566428,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-210.239520731649,1.92084143205756
1.90209483592409,0.264623725829254,1.18273011530192,0.912130433508733,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-220.983253551816,6.6645946571712
3.12271542996538,0.423295558811852,0.0929806864838508,0.33477654818916,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-224.586854434539,13.8968495482398
1.4622958506205,0.349782652838078,1.77705202737253,0.788857208983938,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-225.852552590461,11.9232363480014
1.81268838629845,0.135351580280423,2.23869252267274,0.602728568420149,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-252.982460820495,22.6076207495188
3.04682961321672,0.0311172240977055,1.79057482816507,0.61868441160259,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-260.713530249685,0.953333020612995
2.07899086595289,0.0765485306765648,1.86439583862373,0.738494193902196,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-273.871773327793,36.6084264401291
1.51644924153327,0.100834663876833,2.53755044043218,0.833194299874459,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-311.202227928448,7.79678331522421
3.43988078966945,0.0507381270085745,0.524364395541571,0.342029255400664,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-325.977563496213,70.8111290870318
2.43062710495516,0.0836560615688589,0.79752370065121,0.682218200516101,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-348.68069394824,21.3109587877255
3.27029720373526,0.467104888069006,0.00476676165765892,0.213496911498058,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-393.24159394689,61.7900858135196
1.66485804426628,0.313991216072199,0.0223640859671152,0.752166245383168,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-470.266907398637,39.1892719728009
1.49112609998368,0.289690281100056,0.194137705782944,0.9126426391163,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-498.762225382939,6.4357200695693
1.78701166554923,0.138659675618669,0.0707273804914983,0.799556622837297,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-536.136616098632,17.8448986697469
1.49553276239847,0.388467601086717,0.0763625629172813,0.685640287564436,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-564.963014343517,10.4046001687527
1.1510670045762,0.448746186945808,1.10256992606664,0.482829952859461,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-583.318235101693,221.527623590249
1.92514810568711,0.323432694942461,0.452804253562607,0.280470597174117,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-618.734508423284,25.2216332018551
1.82455092448546,0.474068278653122,1.86049417151516,0.104514470210279,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-724.480732837848,128.278482208885
0.940216655309674,0.265854161645101,2.43804595478276,0.119306434458387,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-950.8184932462,72.8550745906093
0.684008119213141,0.404032392449663,1.34620072031229,0.510941694573879,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-996.450948157884,36.1786654723539
0.699222485084937,0.283858606096295,2.14233445935217,0.331531757538371,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-1052.5665292019,13.3890857211262
0.385088602567417,0.432870250618838,0.998690752083366,0.0547131515030419,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-1111.62929370068,21.3205220658118
0.414226542872599,0.182246617679281,0.128576616048328,0.100857611748824,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-1138.26229255155,21.3770117673261
0.0920551168891731,0.0376634385270857,0.0618005265593449,0.18425728061348,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-1165.45685823288,1.836031161605
0.0026911089078879,0.292614050575695,0.496744342709703,0.534211045095462,31800,0.999622641509434,0.000345911949685535,3.14465408805031e-05,0,0.41,1.4,12,-1165.5122977965,0.0344968616133831
