"","x"
"beta",1.3488278843248
"gamma",0.85139281464055
"rho",0.937075427885493
"psi",0.511691673398674
"p",0.113754269139054
"q",2.38589525777708
"pop",10600
"S_0",0.999056603773585
"E_0",0.000754716981132075
"I_0",0.000188679245283019
"R_0",0
"sigma",0.059
"intervention",61
"spring0",26
"spring1",34
"summer0",100
